SuperWASP    13/06/2007-12/08/2008 400-700nm phot-SuperWASP.dat
MEarth-tel01 20/09/2012-08/07/2015 RG715     phot-MEarth-tel01-s1.dat
MEarth-tel05 28/05/2012-10/11/2018 RG715     phot-MEarth-tel05-s1.dat
OSN-T150     31/08/2017-06/12/2017 V         phot-SNO-T150-2017-V.dat
OSN-T150     31/08/2017-06/12/2017 R         phot-SNO-T150-2017-R.dat
OSN-T150     14/07/2017-06/12/2017 I         phot-SNO-T150-2017-I.dat
OSN-T90      29/06/2017-03/11/2020 V         phot-SNO-T90-2020-2019-2017-V.dat
OSN-T90      29/06/2017-02/11/2020 R         phot-SNO-T90-2020-2019-2017-R.dat
TJO-T80      19/12/2018-12/01/2020 R         phot-TJO-R.dat
MEarth-tel01 13/09/2017-19/11/2018 RG715     phot-MEarth-tel01-s2.dat
MEarth-tel05 13/09/2017-19/11/2018 RG715     phot-MEarth-tel05-s2.dat
